"TAJUK PEROLEHAN","KEMENTERIAN","NAMA SYARIKAT","HARGA SETUJU"
"PENGANJURAN LANGKAWI INTERNATIONAL MARITIME AEROSPACE EXHIBITION 2019 (LIMA '19)","KEMENTERIAN PENGANGKUTAN","EN PROJECTS (M) SDN BHD","2,333,127.50"
"PEMBAHARUAN PAKEJ ANNUAL SUPPORT & UPGRADE PERISIAN PERALATAN FLIGHT RECORDER LABORATORY (MAKMAL KOTAK HITAM-MKH) BIRO SIASATAN KEMALANGAN UDARA (BSKU), KEMENTERIAN PENGANGKUTAN MALAYSIA DI TINGKAT 1, BLOK D INSTITUT PENYELIDIKAN SAINS DAN TEKNOLOGI PERTAHANAN (STRIDE) KAJANG, SELANGOR","KEMENTERIAN PENGANGKUTAN","PLANE SCIENCES INC","179,390.40"
"PEROLEHAN MEMBEKAL DAN MENGHANTAR INK/TONER MESIN PENCETAK/FAKSIMILI BAGI KEGUNAAN DI JABATAN PENGANGKUTAN JALAN NEGERI KELANTAN","KEMENTERIAN PENGANGKUTAN","CITI TECH","331, 711.50"
"PROJEK MENAIKTARAF KEMUDAHAN INFRASTRUKTUR LANDASAN BERKEMBAR ELEKTRIK DI LEMBAH KLANG FASA 2","KEMENTERIAN PENGANGKUTAN","DHAYA MAJU LTAT SDN BHD","4,475,250,000.00"
"KONTRAK JANGKA PANJANG (KJP) PENYELENGGARAAN PESAWAT RASMI KERAJAAN","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIROD SDN BHD","139,600,000.00"
"KONTRAK UTAMA 'MAINTENANCE, OVERHAUL, TESTING, CALIBRATION, REPAIR, DEFECT RECTIFICATION, MODIFICATION OF ARTICLES, TECHNICAL ASSISTANCE, FABRICATION AND SUPPLY OF MATERIAL FOR GOVERNMENT AIRCRAFT AND EQUIPMENT'","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIROD SDN BHD","102,000,000.00"
"'FOR THE MAINTENANCE, OVERHAUL, TESTING, CALIBRATION, REPAIR, DEFECT RECTIFICATION, MODIFICATION OF ARTICLES, TECHNICAL ASSISTANCE, FABRICATION AND SUPPLY OF MATERIALS FOR THE RMAF C130H AIRCRAFT AND EQUIPMENT'","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIROD SDN BHD","204,000,000.00"
"'FOR THE MAINTENANCE, OVERHAUL, TESTING, CALIBRATION, REPAIR, DEFECT RECTIFICATION, MODIFICATION OF ARTICLES, TECHNICAL ASSISTANCE, FABRICATION AND SUPPLY OF MATERIALS FOR THE RMAF SIKORSKY 61A-4 (NURI) AIRCRAFT AND EQUIPMENT","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIROD SDN BHD","203,200,000.00"
"'FOR THE MAINTENANCE, OVERHAUL, TESTING, CALIBRATION, REPAIR, DEFECT RECTIFICATION, MODIFICATION OF ARTICLES, TECHNICAL ASSISTANCE, FABRICATION AND SUPPLY OF MATERIALS FOR THE RMAF HAWK MK108/208 AIRCRAFT AND EQUIPMENT","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIROD SDN BHD","29,200,000.00"
"KONTRAK 'IN-SERVICE SUPPORT FOR RMAF A400M AIRCRAFT'","KEMENTERIAN PERTAHANAN MALAYSIA (MINDEF)","AIRBUS MILITARY SOCIEDAD LIMITADA (AMSL), SEPANYOL","222,869,160.50"
"PERKHIDMATAN MAKANAN BERMASAK ISLAM UNTUK PETUGAS KESEIAMATAN POLIS DIRAJA MALAYSIA (PDRM) OPS SEAFIELD - KUIL SRI MAHA MARIAMMAN, USJ 25, SEAFIELD, SUBANG JAYA, SELANGOR; DAN PERKHIDMATAN MAKANAN BERMASAK UNTUK PETUGAS BANTUAN KESELAMATAN PORM SEMPENA PERHIMPUNAN AMAN 'KEADILAN UNTUKMU ADIB DAN DESAKAN PECAT P.WAYTHA MOORTHY'","KEMENTERIAN DALAM NEGERI","NY KATERING ENTERPRISE DAN JA BLM ENTERPRISE","133,350.00"
"PENUGASAN KAWALAN KESEIAMATAN BERKAITAN PERHIMPUNAN BANTAHAN KONVENSYEN ANTARABANGSA MENGENAI PENGHAPUSAN SEGALA BENTUK DISKRIMINASI KAUM (ICERD) DAN PENUGASAN KAWALAN KESELAMATAN OPS SEAFIELD - KUIL SERI MAHA MARIAMMAN, USJ 25, SEAFIELD, SUBANG JAYA, SELANGOR","KEMENTERIAN DALAM NEGERI","MATAN FOOD, JITRAMUDA SDN BHD PINTAR CEKAP ENTERPRISE","365,521.70"
